ID, Group Name, Indentation, Sites IN, Sites OUT, Hist IN, Hist OUT, Group code, Group content, Behavior IN
"1","Leukemias, myeloproliferative diseases, and myelodysplastic diseases","0",,,,,,"011,012,013,014,015",
"2","Lymphoid leukemias","1",,,,,,"011",
"3","Precursor cell leukemias","2","C000-C809",,"9835,9836",,"011",,"3"
"4","Precursor cell leukemias","2","C420,C421,C424",,"9811-9818,9837",,"011",,"3"
"5","Mature B-cell leukemias","2","C000-C809",,"9826,9832,9833,9940",,"011",,"3"
"6","Mature B-cell leukemias","2","C420,C421,C424",,"9823",,"011",,"3"
"7","Mature T-cell and NK cell leukemias","2","C000-C809",,"9831,9834,9948",,"011",,"3"
"8","Mature T-cell and NK cell leukemias","2","C420,C421,C424",,"9827",,"011",,"3"
"9","Lymphoid leukemia, NOS","2","C000-C809",,"9820",,"011",,"3"
"10","Acute myeloid leukemias","1","C000-C809",,"9840,9861,9865-9867,9869-9874,9891,9895-9898,9910,9911,9920,9931",,"012",,"3"
"11","Chronic myeloproliferative diseases","1","C000-C809",,"9863,9875,9876,9950,9960-9964",,"013",,"3"
"12","Myelodysplastic syndrome and other myeloproliferative diseases","1","C000-C809",,"9945,9946,9975,9980,9982-9987,9989,9991,9992",,"014",,"3"
"13","Unspecified and other specified leukemias","1","C000-C809",,"9800,9801,9805-9809,9860,9930,9965-9967,9971",,"015",,"3"
"14","Lymphomas and reticuloendothelial neoplasms","0",,,,,,"021,022,023,024,025",
"15","Hodgkin lymphomas","1","C000-C809",,"9650-9655,9659,9661-9665,9667",,"021",,"3"
"16","Non-Hodgkin lymphomas (except Burkitt lymphoma)","1",,,,,,"022",
"17","Precursor cell lymphomas","2","C000-C809",,"9727-9729",,"022",,"3"
"18","Precursor cell lymphomas","2","C000-C419,C422-C423,C425-C809",,"9811-9818,9837",,"022",,"3"
"19","Mature B-cell lymphomas (except Burkitt lymphoma)","2","C000-C809",,"9597,9670,9671,9673,9675,9678-9680,9684,9688-9691,9695,9698,9699,9712,9731-9735,9737,9738,9761,9762,9764-9766,9769,9970",,"022",,"3"
"20","Mature B-cell lymphomas (except Burkitt lymphoma)","2","C000-C419,C422-C423,C425-C809",,"9823",,"022",,"3"
"21","Mature T-cell and NK-cell lymphomas","2","C000-C809",,"9700-9702,9705,9708,9709,9714,9716-9719,9724-9726,9767,9768",,"022",,"3"
"22","Mature T-cell and NK-cell lymphomas","2","C000-C419,C422-C423,C425-C809",,"9827",,"022",,"3"
"23","Non-Hodgkin lymphomas,NOS","2","C000-C809",,"9591,9760",,"022",,"3"
"24","Burkitt lymphoma","1","C000-C809",,"9687",,"023",,"3"
"25","Miscellaneous lymphoreticular neoplasms","1","C000-C809",,"9740-9742,9750-9759",,"024",,"3"
"26","Unspecified lymphomas","1","C000-C809",,"9590,9596",,"025",,"3"
"27","CNS and miscellaneous intracranial and intraspinal neoplasms","0",,,,,,"031,032,033,034,035,036",
"28","Ependymomas and choroid plexus tumor","1",,,,,,"031",
"29","Ependymomas","2","C000-C809",,"9383,9391-9394",,"031",,"0,1,3"
"30","Choroid plexus tumor","2","C000-C809",,"9390",,"031",,"0,1,3"
"31","Astrocytomas","1","C723",,"9380",,"032",,"0,1,3"
"32","Astrocytomas","1","C000-C809",,"9384,9400-9411,9420-9424,9440-9442",,"032",,"0,1,3"
"33","Intracranial and intraspinal embryonal tumors","1",,,,,,"033",
"34","Medulloblastomas","2","C000-C809",,"9470-9472,9474,9480",,"033",,"0,1,3"
"35","PNET","2","C000-C809",,"9473",,"033",,"0,1,3"
"36","Medulloepithelioma","2","C700-C729",,"9501-9504",,"033",,"0,1,3"
"37","Atypical teratoid/rhabdoid tumor","2","C000-C809",,"9508",,"033",,"0,1,3"
"38","Other gliomas","1",,,,,,"034",
"39","Oligodendrogliomas","2","C000-C809",,"9450,9451,9460",,"034",,"0,1,3"
"40","Mixed and unspecified gliomas","2","C700-C722,C724-C729,C751,C753",,"9380",,"034",,"0,1,3"
"41","Mixed and unspecified gliomas","2","C000-C809",,"9382",,"034",,"0,1,3"
"42","Neuroepithelial glial tumors of uncertain origin","2","C000-C809",,"9381,9430,9444",,"034",,"0,1,3"
"43","Other specified intracranial and intraspinal neoplasms","1",,,,,,"035",
"44","Pituitary adenomas and carcinomas","2","C000-C809",,"8270-8281,8300",,"035",,"0,1,3"
"45","Tumors of the sellar region (craniopharyngiomas)","2","C000-C809",,"9350-9352,9582",,"035",,"0,1,3"
"46","Pineal parenchymal tumors","2","C000-C809",,"9360-9362",,"035",,"0,1,3"
"47","Neuronal and mixed neuronal-glial tumors","2","C000-C809",,"9412,9413,9492,9493,9505-9507",,"035",,"0,1,3"
"48","Meningiomas","2","C000-C809",,"9530-9539",,"035",,"0,1,3"
"49","Unspecified intracranial and intraspinal neoplasms","1","C700-C729,C751-C753",,"8000-8005",,"036",,"0,1,3"
"50","Neuroblastoma and other peripheral nervous cell tumors","0",,,,,,"041,042",
"51","Neuroblastoma and ganglioneuroblastoma","1","C000-C809",,"9490,9500",,"041",,"3"
"52","Other peripheral nervous cell tumors","1","C000-C809",,"8680-8683,8690-8693,8700,9520-9523",,"042",,"3"
"53","Other peripheral nervous cell tumors","1","C000-C699,C739-C768,C809",,"9501-9504",,"042",,"3"
"54","Retinoblastoma","0","C000-C809",,"9510-9514",,"050",,"3"
"55","Renal tumors","0",,,,,,"061,062,063",
"56","Nephroblastoma and other nonepithelial renal tumors","1",,,,,,"061",
"57","Nephroblastoma","2","C000-C809",,"8959-8960",,"061",,"3"
"58","Rhabdoid renal tumor","2","C649",,"8963",,"061",,"3"
"59","Kidney sarcomas","2","C000-C809",,"8964-8967",,"061",,"3"
"60","pPNET of kidney","2","C649",,"9364",,"061",,"3"
"61","Renal carcinomas","1","C649",,"8010-8041,8050-8075,8082,8120-8122,8130-8141,8143,8155,8190-8201,8210,8211,8221-8231,8240,8241,8244-8246,8260-8263,8290,8310,8320,8323,8401,8430,8440,8480-8490,8504,8510,8550,8560-8576",,"062",,"3"
"62","Renal carcinomas","1","C000-C809",,"8311,8312,8316-8319,8361",,"062",,"3"
"63","Unspecified malignant renal tumors","1","C649",,"8000-8005",,"063",,"3"
"64","Hepatic tumors","0",,,,,,"071,072,073",
"65","Hepatoblastoma","1","C000-C809",,"8970",,"071",,"3"
"66","Hepatic carcinomas","1","C220,C221",,"8010-8041,8050-8075,8082,8120-8122,8140,8141,8143,8155,8190-8201,8210,8211,8230,8231,8240,8241,8244-8246,8260-8264,8310,8320,8323,8401,8430,8440,8480-8490,8504,8510,8550,8560-8576",,"072",,"3"
"67","Hepatic carcinomas","1","C000-C809",,"8160-8180",,"072",,"3"
"68","Unspecified malignant hepatic tumors","1","C220-C221",,"8000-8005",,"073",,"3"
"69","Malignant bone tumors","0",,,,,,"081,082,083,084,085",
"70","Osteosarcomas","1","C400-C419,C760-C768,C809",,"9180-9187,9191-9195,9200",,"081",,"3"
"71","Chondrosarcomas","1","C400-C419,C760-C768,C809",,"9210,9220,9240",,"082",,"3"
"72","Chondrosarcomas","1","C000-C809",,"9221,9230,9241-9243",,"082",,"3"
"73","Ewing tumor and related sarcomas of bone","1",,,,,,"083",
"74","Ewing tumor and Askin tumor of bone","2","C400-C419,C760-C768,C809",,"9260",,"083",,"3"
"75","Ewing tumor and Askin tumor of bone","2","C400-C419",,"9365",,"083",,"3"
"76","pPNET of bone","2","C400-C419",,"9363,9364",,"083",,"3"
"77","Other specified malignant bone tumors","1",,,,,,"084",
"78","Malignant fibrous neoplasms of bone","2","C400-C419",,"8810,8811,8823,8830",,"084",,"3"
"79","Malignant fibrous neoplasms of bone","2","C000-C809",,"8812,9262",,"084",,"3"
"80","Malignant chordomas","2","C000-C809",,"9370-9372",,"084",,"3"
"81","Odontogenic malignant tumors","2","C000-C809",,"9270-9275,9280-9282,9290,9300-9302,9310-9312,9320-9322,9330,9340-9342",,"084",,"3"
"82","Miscellaneous malignant bone tumors","2","C000-C809",,"9250,9261",,"084",,"3"
"83","Unspecified malignant bone tumors","1","C400-C419",,"8000-8005,8800,8801,8803-8805",,"085",,"3"
"84","Soft tissue and other extraosseous sarcomas","0",,,,,,"091,092,093,094,095",
"85","Rhabdomyosarcomas","1","C000-C809",,"8900-8905,8910,8912,8920,8991",,"091",,"3"
"86","Fibrosarcomas, peripheral nerve sheath tumors, and other fibrous neoplasms","1",,,,,,"092",
"87","Fibroblastic and myofibroblastic tumors","2","C000-C399,C440-C768,C809",,"8810,8811,8813-8815,8821,8823,8834-8835",,"092",,"3"
"88","Fibroblastic and myofibroblastic tumors","2","C000-C809",,"8820,8822,8824-8827,9150,9160",,"092",,"3"
"89","Nerve sheath tumors","2","C000-C809",,"9540-9571",,"092",,"3"
"90","Other fibromatous neoplasms","2","C000-C809",,"9491,9580",,"092",,"3"
"91","Kaposi sarcoma","1","C000-C809",,"9140",,"093",,"3"
"92","Other specified soft tissue sarcomas","1",,,,,,"094",
